"","RBARBIS","ARGCCUSMA02STM","IRSTCB01BRM156N","IRSTCI01BRM156N","TRESEGBRM052N","IRSTPI01INM156N","INTDSRINM193N","IRSTCB01INM156N","IRSTCI01INM156N","TRESEGINM052N","CCUSSP01TRM650N","INTDSRTRM193N"
"2009-06",-0.0355086372360844,0.0116624976246942,0.0925,0.0925,636127303.720001,-0.00119999999999998,0,0,0,-47626029893.411,0.00641193404867835,-0.01
"2009-07",-0.0103482587064677,0.0107244255040091,0.0875,0.0875,3779270697.142,-0.00130000000000001,0,0,0,-34572988641.261,0.037856924591722,0
"2009-08",-0.0230243313895032,0.00785285051156848,0.0875,0.0875,10495196041.106,0,0,0,0,-19295198745.566,-0.0175783855903932,0
"2009-09",-0.00545435834105179,0.000753340942115877,0.0875,0.0875,15014216962.424,0,0,0,0,-6914739830.38599,0.0124615852217078,0
"2009-10",-0.0122102649006623,-0.00419566796857351,0.0875,0.0875,33559305348.437,0,0,0,0,28960920138.962,-0.00380164177095876,0
"2009-11",0.00335218939870119,-0.0040435380958348,0.0875,0.0875,41601493715.446,0,0,0,0,30209857835.445,6.72902227296657e-05,0
"2009-12",0.0156608895385257,-0.00114060607887778,0.0875,0.0875,44520831181.047,0,0,0,0,17762829820.122,-0.00321953182641277,-0.03
"2010-01",0.016344572368421,0.00528824387544669,0.0875,0.0875,52210095094.478,0,0,0,0,23219220418.51,0.00282504876572309,0
"2010-02",0.0177000101142915,0.012807040588467,0.0875,0.0875,54033126583.718,0,0,0,0,20951031548.132,-0.0344849980516958,0
"2010-03",-0.00795070562512434,-0.00322259595187857,0.0875,0.0875,53163400642.357,0,0,0,0,19048254089.149,0.0134597031625363,0
"2010-04",-0.00470847525545981,0.00344057518917573,0.095,0.095,56426050559.826,0,0,0,0,18755843246.959,0.0283596737622263,0
"2010-05",0.0272773024660293,0.0068531480348879,0.095,0.095,54331279938.358,0,0,0,0,2028217462.72803,-0.0591288288862001,0
"2010-06",0.00676072898295121,0.00598602937046966,0.1025,0.1025,51311713663.672,0,0,0,0,1085822465.64798,-0.00456418383518309,0
"2010-07",-0.0135279805352798,0.00226773957571247,0.1075,0.1075,49687302481.634,-0.0375,0,0,0,3647916460.755,0.0459834897059315,0
"2010-08",-0.00256511444356755,0.000899071733317269,0.1075,0.1075,45261785580.473,0,0,0,0,-4173221586.14102,-0.0107572726378277,0
"2010-09",-0.0138476755687438,0.00361957353998976,0.1075,0.1075,53240525018.72,0,0,0,0,1635166659.90201,0.0536664593268374,0
"2010-10",-0.0228686058174523,0.00106832796938616,0.1075,0.1075,53476155558.031,0.0025,0,0,0,2996668437.35901,0.00931254577796392,0
"2010-11",0.00913570108807238,0.00307324405836251,0.1075,0.1075,48576355636.221,0,0,0,0,461179011.480011,-0.0460171690956277,0
"2010-12",0.00335672871528825,0.00207127351664216,0.1075,0.1075,49691572464.047,0.0015,0,0,0,10094873828.461,-0.0250437941997023,-0.00999999999999998
"2011-01",-0.00679237631792373,0.00144719541952099,0.1125,0.1125,56944386219.287,0.0035,0,0,0,14822411507.028,-0.038490330630069,0
"2011-02",-0.0162294579973462,0.0100502331394512,0.1125,0.1125,66106810337.677,0.00310000000000001,0,0,0,19436097761.43,0.00394563787812485,0
"2011-03",-0.00954554886906001,0.00377809075571034,0.1175,0.1175,73029815908.772,0.000699999999999992,0,0,0,21123778953.639,0.0368181818181805,0
"2011-04",-0.0284936098889588,0.00712685540606084,0.12,0.12,80384972658.607,0.000200000000000006,0,0,0,28993814937.388,0.0146264329951247,0
"2011-05",0.00506793185249088,0.0043651567944254,0.12,0.12,82815436726.551,0.00629999999999999,0,0,0,33168387521.652,-0.0452286594955015,0
"2011-06",-0.00214569252226149,0.00307014460146715,0.1225,0.1225,82374274708.383,0.00100000000000001,0,0,0,35390259951.465,-0.0184613484811066,0
"2011-07",-0.00505322008386189,0.00781542056074702,0.125,0.125,88341101384.573,0.00149999999999999,0,0,0,28905966375.978,-0.0344580899010368,0
"2011-08",0.000432245515452623,0.00996881846317876,0.125,0.125,91462134613.299,0.0045,0,0,0,31202900732.166,-0.0412665752171936,0
"2011-09",0.0399654352992007,0.00840290102763075,0.12,0.12,74161140705.151,0.0015,0,0,0,11330112135.036,-0.0571751899552734,0
