"","EXP6021","XTEXVA01ILM667S","XTIMVA01ILM667S","XTEXVA01KRM657S","XTIMVA01KRM657S","KORXTIMVA01NCMLM","IMPKR"
"1998-10",-1.51010452961673,0.0240001584751508,0.0378784472591103,-0.0539744230950133,0.0244371890045032,-1398347674220.5,-15.0999999999999
"1998-11",-1.23087431693989,0.0509302875816728,0.0237513297971996,0.0933361268812822,0.0784203523251944,-1363628322339.9,221.2
"1998-12",2.62721893491124,-0.0751099940310852,-0.00230126768018579,0.012809588357547,0.00471047300720401,-4613987990250.6,91.0000000000002
"1999-01",0.603588907014684,0.0629492989760729,-0.0293326368862363,-0.0506029886743632,0.0940482334283635,-2598772891486.6,111.9
"1999-02",1.90539165818922,-0.0610126733702654,0.213060262307345,-0.0324992027354645,-0.0705128028959592,-3719065188710,296.9
"1999-03",-0.259103641456583,0.0564001043872306,-0.120140111861443,0.0763263662177784,0.0544141602770916,-1055760852422.6,410.5
"1999-04",-0.611058601134216,0.0255182480890408,0.0525830528133675,0.0233278911181968,0.0171330817092836,-456744878400,400.8
"1999-05",-0.439854191980558,0.0189481654661741,0.0185128956944831,-0.00830234325246197,0.076467622625951,697516984552.301,561.7
"1999-06",-2.16702819956616,0.0485305255701909,0.00693509106172296,0.074414019686505,0.0382912954662014,1122968276763.6,610.3
"1999-07",-2.66542750929368,-0.0192329970912536,0.0330747697517613,-0.00305326522349276,-0.0114912864545742,2439616324289.51,631.4
"1999-08",0.2109375,0.0910772800781356,0.0650294614324982,-0.0140583675747966,0.0268723180764472,2491270782717.68,688.9
"1999-09",-3.23225806451613,0.0379564560973698,-0.0556229056939239,0.00134279891068732,0.0211686190614269,2201542134732.7,735.5
"1999-10",0.224194880264244,-0.0100921945171952,0.00609693766114749,0.0875865121106315,0.0838581172864719,3427973970344.1,790.5
"1999-11",-0.506576728499157,0.00789712057568726,0.074755366694909,0.0334787380708493,0.0176994716883997,3041739357807.2,957.3
"1999-12",-0.425837320574162,-0.0119866413139628,-0.0129866119275356,0.019845858174456,0.0483447055413376,3826175997545.1,1041
"2000-01",1.19404761904762,-0.0399460221916248,-0.05154770430219,0.0106181729602539,0.0908971763742346,4117096770950,888.1
"2000-02",0.0358111774281065,0.12450078514978,0.119414379980844,0.00726606755197942,-0.00636944372233492,4515460285852.8,810.2
"2000-03",-0.306443163960188,0.0342283681026037,-0.00755927251893973,-0.0114595604400968,0.0326321496551895,4558180667771.4,773.6
"2000-04",0.781722054380663,-0.0438297321882719,-0.0184985550082262,-0.00865447784162218,0.0038896757267317,3892795463720,630.7
"2000-05",-0.391691394658754,0.0741817532158533,0.00115652192366689,0.0433809099178177,-0.0221583835083162,3584260046856.3,664.5
"2000-06",0.00487804878048803,0.00193809320062877,-0.017275413478048,0.0197571756661239,0.00108909255523351,2803232995593.2,786
"2000-07",-0.238557558945909,0.00632319518883162,0.0964301862902577,0.0320204225329197,0.0488680243902622,3627477975366.6,839.4
"2000-08",0.231329690346085,0.00155070755038533,-0.0571800236573599,0.0219241400977871,-0.0179362482790773,3169590508855.2,935.5
"2000-09",-2.11390532544379,0.129804999213936,0.113536062056965,-0.00912656941758274,0.0184178014599628,2695044417570.9,829.5
"2000-10",1.43691899070385,-0.112023788413534,-0.0983745209886565,-0.0365607393011866,-0.000621852309010944,2224482650264.9,1002.5
"2000-11",-0.651226158038147,0.0210098383636284,0.10899457415542,-0.0285903743106653,-0.0172241503446342,2572349476891.5,681.7
"2000-12",-1.26171875,0.0260412281307505,-0.120776417070688,-0.00760842103455904,-0.0343200778303658,1711832511034.5,287.6
"2001-01",-5.67761194029853,-0.0914395813839797,-0.00242243205927195,-0.0108212620398803,-0.0245357190397307,1567850140020,560.5
"2001-02",-0.515634971282705,-0.0486624038166409,0.100250661503416,0.0499923225414161,0.0412742459282814,2356841002847.2,-22.5
"2001-03",-0.162055335968379,0.0602876604537497,-0.0339132716980612,-0.0725912108551099,-0.071526509858918,836066661851.199,-8.19999999999982
"2001-04",2.78301886792452,-0.0376714561831598,0.0458970102344041,-0.106580865563482,-0.0699757201135542,83427757560,-131.4
